invoice_no,customer_id,gender,age,category,quantity,price,payment_method,invoice_date,shopping_mall
I101606,C279630,Male,25,Clothing,1,300.08,Cash,28-11-2021,"Mall of Istanbul"
I101612,C185174,Male,39,Toys,3,107.52,"Credit Card",28-12-2022,Metrocity
I101618,C203219,Male,24,Clothing,1,300.08,Cash,10-01-2021,Kanyon
I101620,C104200,Female,69,Clothing,4,1200.32,"Debit Card",12-08-2021,Kanyon
I101621,C325188,Female,18,Souvenir,4,46.92,Cash,19-03-2022,Kanyon
I101624,C115743,Male,62,Cosmetics,3,121.98,Cash,15-10-2021,Kanyon
I101627,C144374,Male,59,"Food & Beverage",2,10.46,"Debit Card",26-08-2022,"Zorlu Center"
I101629,C102585,Male,41,Cosmetics,3,121.98,Cash,25-09-2021,"Mall of Istanbul"
I101634,C318714,Female,19,Clothing,1,300.08,"Debit Card",11-03-2022,Metrocity
I101635,C695700,Female,18,Toys,5,179.20,Cash,03-06-2022,"Forum Istanbul"
I101638,C217867,Female,27,Technology,2,2100.00,Cash,22-07-2022,Metrocity
I101641,C483550,Male,37,Toys,3,107.52,"Credit Card",06-12-2021,"Cevahir AVM"
I101642,C296856,Female,39,Clothing,4,1200.32,"Debit Card",22-10-2021,"Mall of Istanbul"
I101645,C683241,Female,63,Clothing,4,1200.32,"Credit Card",10-11-2022,Metrocity
I101649,C801987,Male,41,Technology,3,3150.00,Cash,12-11-2021,"Metropol AVM"
I101653,C185129,Female,68,Souvenir,2,23.46,Cash,10-04-2021,Kanyon
I101658,C254846,Female,63,Cosmetics,1,40.66,"Credit Card",18-09-2021,"Mall of Istanbul"
I101659,C197249,Female,67,Shoes,5,3000.85,Cash,29-11-2022,"Viaport Outlet"
I101661,C156543,Female,45,Clothing,4,1200.32,Cash,06-08-2022,"Emaar Square Mall"
I101667,C142998,Female,41,Souvenir,5,58.65,"Credit Card",14-09-2022,Metrocity
I101669,C308898,Male,32,Toys,3,107.52,"Credit Card",01-08-2022,"Viaport Outlet"
I101670,C584201,Female,34,Clothing,1,300.08,Cash,02-02-2021,"Metropol AVM"
I101672,C976493,Male,21,Books,2,30.30,"Credit Card",23-01-2021,Metrocity
I101674,C284838,Male,22,Cosmetics,1,40.66,"Credit Card",12-06-2021,"Viaport Outlet"
I101675,C302289,Female,20,Cosmetics,3,121.98,"Debit Card",06-10-2022,Metrocity
I101676,C179567,Female,39,Clothing,2,600.16,Cash,10-02-2023,Kanyon
I101677,C518156,Female,22,Books,5,75.75,"Credit Card",23-01-2021,"Cevahir AVM"
I101682,C201671,Female,46,Clothing,4,1200.32,Cash,07-12-2022,"Cevahir AVM"
I101684,C280909,Female,25,Souvenir,5,58.65,"Credit Card",28-08-2022,"Mall of Istanbul"
I101686,C520399,Female,30,Clothing,3,900.24,"Debit Card",03-12-2021,"Istinye Park"
I101691,C322262,Male,67,Souvenir,4,46.92,Cash,05-03-2021,"Mall of Istanbul"
I101700,C156564,Male,56,Cosmetics,2,81.32,"Credit Card",04-03-2022,"Istinye Park"
I101703,C113813,Female,65,Cosmetics,1,40.66,"Credit Card",01-11-2022,"Mall of Istanbul"
I101704,C568729,Female,22,Toys,3,107.52,"Credit Card",10-05-2021,Kanyon
I101708,C103055,Male,55,"Food & Beverage",1,5.23,Cash,25-05-2021,Metrocity
I101709,C800815,Female,20,Clothing,5,1500.40,"Debit Card",02-09-2021,"Mall of Istanbul"
I101711,C354279,Male,48,"Food & Beverage",3,15.69,"Credit Card",18-06-2021,"Metropol AVM"
I101714,C273113,Female,33,Books,3,45.45,Cash,11-10-2022,"Mall of Istanbul"
I101716,C254712,Female,19,Clothing,2,600.16,"Debit Card",04-11-2021,"Istinye Park"
I101717,C143132,Male,42,Cosmetics,5,203.30,Cash,03-12-2021,Kanyon
I101720,C105307,Male,67,Cosmetics,1,40.66,Cash,29-03-2022,Metrocity
I101724,C331264,Female,60,"Food & Beverage",5,26.15,Cash,16-03-2022,Metrocity
I101727,C145580,Male,67,Clothing,2,600.16,Cash,04-05-2022,"Cevahir AVM"
I101728,C183537,Female,48,Cosmetics,2,81.32,Cash,07-11-2021,"Mall of Istanbul"
I101730,C378627,Female,41,Toys,5,179.20,"Credit Card",19-12-2021,Kanyon
I101731,C125296,Female,41,Books,3,45.45,Cash,23-01-2023,"Mall of Istanbul"
I101734,C150574,Female,26,Shoes,2,1200.34,"Credit Card",08-09-2021,"Metropol AVM"
I101739,C152510,Male,49,Clothing,1,300.08,"Debit Card",04-02-2021,Kanyon
I101740,C136633,Male,22,Toys,1,35.84,"Debit Card",12-11-2021,"Istinye Park"
I101741,C319933,Male,68,Shoes,3,1800.51,"Credit Card",21-07-2021,"Mall of Istanbul"
I101742,C123907,Female,34,Toys,5,179.20,"Credit Card",17-01-2021,"Mall of Istanbul"
I101743,C158928,Male,48,Cosmetics,3,121.98,Cash,31-03-2022,Metrocity
I101745,C105559,Male,42,Shoes,5,3000.85,Cash,05-04-2021,"Cevahir AVM"
I101752,C116715,Female,45,Souvenir,4,46.92,Cash,16-05-2021,"Metropol AVM"
I101753,C336142,Female,29,Cosmetics,5,203.30,"Credit Card",25-04-2021,"Istinye Park"
I101754,C125307,Female,53,Clothing,4,1200.32,"Debit Card",24-09-2021,Kanyon
I101755,C333796,Female,53,Clothing,3,900.24,"Debit Card",19-02-2021,Metrocity
I101765,C280567,Male,41,Clothing,3,900.24,"Credit Card",07-08-2021,Kanyon
I101767,C181289,Female,30,"Food & Beverage",4,20.92,"Credit Card",22-10-2022,"Metropol AVM"
I101768,C249684,Female,56,Cosmetics,3,121.98,"Credit Card",24-01-2022,"Mall of Istanbul"
I101769,C306686,Male,61,"Food & Beverage",5,26.15,"Debit Card",18-04-2022,"Viaport Outlet"
I101775,C867251,Female,64,Clothing,2,600.16,"Credit Card",14-02-2023,"Mall of Istanbul"
I101779,C114592,Female,62,Books,3,45.45,"Debit Card",14-03-2022,"Mall of Istanbul"
I101782,C221270,Female,26,Cosmetics,5,203.30,"Credit Card",22-06-2021,"Mall of Istanbul"
I101785,C279161,Female,31,Shoes,5,3000.85,"Debit Card",13-07-2022,Kanyon
I101790,C310170,Female,68,Books,1,15.15,"Credit Card",06-09-2021,Kanyon
I101795,C207950,Male,39,Clothing,4,1200.32,"Debit Card",25-01-2023,Metrocity
I101799,C789602,Female,59,Technology,3,3150.00,"Credit Card",18-05-2022,"Viaport Outlet"
I101806,C322425,Female,42,Clothing,1,300.08,"Credit Card",05-01-2022,"Mall of Istanbul"
I101809,C148190,Female,21,Clothing,5,1500.40,Cash,10-11-2021,"Mall of Istanbul"
I101810,C259949,Female,69,Toys,4,143.36,"Credit Card",05-07-2021,"Emaar Square Mall"
I101819,C787263,Female,59,Toys,3,107.52,Cash,17-06-2022,"Metropol AVM"
I101820,C324317,Male,69,Clothing,1,300.08,Cash,14-08-2021,"Emaar Square Mall"
I101822,C178709,Female,53,"Food & Beverage",4,20.92,"Debit Card",04-07-2022,"Istinye Park"
I101823,C121785,Male,64,Clothing,4,1200.32,"Credit Card",22-06-2021,"Emaar Square Mall"
I101827,C150375,Female,27,Toys,3,107.52,Cash,11-11-2022,Kanyon
I101829,C207614,Female,52,Technology,2,2100.00,"Credit Card",25-11-2021,"Istinye Park"
I101832,C261194,Female,40,Cosmetics,3,121.98,"Credit Card",25-12-2022,Kanyon
I101834,C407525,Female,69,Toys,5,179.20,Cash,23-04-2021,"Istinye Park"
I101837,C288430,Female,33,Shoes,4,2400.68,"Credit Card",14-05-2022,Metrocity
I101840,C128251,Male,61,Clothing,3,900.24,"Credit Card",28-03-2022,Kanyon
I101842,C158131,Female,62,Shoes,1,600.17,"Credit Card",27-04-2021,"Metropol AVM"
I101843,C300621,Female,61,Clothing,5,1500.40,Cash,18-01-2023,Kanyon
I101852,C224985,Male,32,Clothing,2,600.16,"Debit Card",04-03-2023,"Mall of Istanbul"
I101854,C190002,Male,41,Shoes,1,600.17,Cash,14-10-2022,"Mall of Istanbul"
I101855,C120734,Female,25,Books,4,60.60,Cash,18-02-2023,"Forum Istanbul"
I101857,C227245,Female,34,Souvenir,2,23.46,Cash,29-04-2022,"Metropol AVM"
I101862,C352919,Female,24,Shoes,2,1200.34,"Credit Card",02-12-2022,"Viaport Outlet"
I101865,C248634,Female,47,Clothing,1,300.08,Cash,15-01-2023,"Mall of Istanbul"
I101869,C578801,Male,27,Technology,2,2100.00,Cash,25-01-2023,"Mall of Istanbul"
I101870,C350587,Female,68,Shoes,3,1800.51,Cash,24-03-2021,"Metropol AVM"
I101871,C233682,Female,26,Cosmetics,4,162.64,Cash,22-01-2023,Kanyon
I101873,C844870,Female,67,Clothing,2,600.16,"Credit Card",14-12-2021,"Emaar Square Mall"
I101879,C419320,Male,52,Cosmetics,2,81.32,"Credit Card",18-06-2021,Kanyon
I101882,C225381,Male,38,Clothing,4,1200.32,Cash,10-06-2022,"Zorlu Center"
I101885,C199456,Male,57,Books,4,60.60,"Credit Card",18-04-2021,"Forum Istanbul"
I101887,C169919,Male,32,Souvenir,4,46.92,Cash,16-08-2021,Metrocity
I101888,C216076,Male,69,Clothing,5,1500.40,Cash,22-02-2021,"Metropol AVM"
I101889,C121577,Female,52,Shoes,3,1800.51,Cash,17-02-2022,"Metropol AVM"
I101891,C180405,Female,21,Cosmetics,2,81.32,"Debit Card",20-09-2022,"Cevahir AVM"
I101893,C586871,Female,36,"Food & Beverage",1,5.23,"Credit Card",12-04-2022,"Viaport Outlet"
I101896,C113243,Male,51,"Food & Beverage",2,10.46,"Credit Card",27-03-2022,Kanyon
I101901,C241557,Male,53,"Food & Beverage",4,20.92,Cash,27-04-2021,"Istinye Park"
I101902,C195949,Female,64,Clothing,5,1500.40,"Credit Card",05-04-2021,"Mall of Istanbul"
I101904,C106038,Female,23,Souvenir,1,11.73,"Credit Card",22-02-2021,Kanyon
I101905,C147666,Female,36,Cosmetics,3,121.98,Cash,24-02-2021,Kanyon
I101906,C306258,Male,65,Shoes,2,1200.34,"Credit Card",29-05-2022,Metrocity
I101910,C304301,Male,41,Souvenir,4,46.92,Cash,29-03-2022,"Viaport Outlet"
I101912,C499795,Female,46,Cosmetics,5,203.30,"Debit Card",29-07-2022,"Zorlu Center"
I101915,C112646,Male,42,Clothing,1,300.08,"Credit Card",22-09-2022,Kanyon
I101919,C209103,Male,32,Clothing,4,1200.32,"Credit Card",20-10-2021,"Metropol AVM"
I101920,C208660,Female,37,"Food & Beverage",4,20.92,"Debit Card",26-10-2021,"Cevahir AVM"
I101921,C243839,Female,39,Books,3,45.45,"Credit Card",16-02-2023,"Emaar Square Mall"
I101925,C329689,Male,66,Technology,3,3150.00,"Debit Card",03-02-2023,"Mall of Istanbul"
I101927,C156809,Male,53,Books,2,30.30,"Credit Card",15-06-2021,"Mall of Istanbul"
I101934,C153128,Male,41,Cosmetics,3,121.98,"Debit Card",31-12-2021,"Emaar Square Mall"
I101940,C283119,Female,18,Souvenir,5,58.65,Cash,25-12-2022,"Istinye Park"
I101953,C316666,Male,52,Technology,3,3150.00,Cash,16-02-2021,Metrocity
I101967,C218507,Female,26,"Food & Beverage",5,26.15,Cash,25-02-2023,"Istinye Park"
I101968,C134978,Male,56,Clothing,3,900.24,"Credit Card",24-01-2023,Metrocity
I101972,C182834,Female,57,Clothing,5,1500.40,"Credit Card",03-02-2022,Metrocity
I101974,C184510,Male,57,Toys,5,179.20,"Credit Card",11-11-2021,"Mall of Istanbul"
I101975,C208782,Female,22,Clothing,2,600.16,Cash,07-01-2022,Kanyon
I101978,C188650,Female,42,Clothing,5,1500.40,"Debit Card",14-08-2022,"Mall of Istanbul"
I101979,C109876,Male,25,Clothing,2,600.16,Cash,22-02-2023,"Mall of Istanbul"
I101982,C116333,Female,40,Technology,5,5250.00,Cash,01-02-2021,"Emaar Square Mall"
I101983,C889640,Male,57,Toys,1,35.84,"Credit Card",16-09-2021,"Zorlu Center"
I101984,C117381,Male,45,Clothing,2,600.16,"Credit Card",01-10-2022,Metrocity
I101989,C269810,Male,66,Clothing,4,1200.32,"Credit Card",28-03-2021,"Zorlu Center"
I101993,C158626,Female,52,Shoes,1,600.17,Cash,02-10-2021,"Zorlu Center"
I101996,C157238,Female,32,Cosmetics,3,121.98,Cash,15-06-2021,Kanyon
I102001,C167373,Female,54,"Food & Beverage",5,26.15,"Debit Card",24-05-2021,Kanyon
I102006,C133645,Female,64,Clothing,2,600.16,"Debit Card",07-01-2021,Kanyon
I102008,C171022,Female,47,Clothing,5,1500.40,"Debit Card",15-02-2023,"Forum Istanbul"
I102009,C146739,Female,31,Shoes,1,600.17,Cash,13-11-2021,"Forum Istanbul"
I102014,C158673,Male,37,"Food & Beverage",1,5.23,Cash,26-02-2021,"Metropol AVM"
I102015,C127328,Female,18,Clothing,3,900.24,Cash,23-01-2022,"Viaport Outlet"
I102020,C244182,Male,20,"Food & Beverage",4,20.92,"Debit Card",10-08-2022,Kanyon
I102021,C178086,Female,43,Toys,4,143.36,Cash,07-04-2022,"Forum Istanbul"
I102024,C132062,Female,19,Souvenir,5,58.65,"Credit Card",10-11-2022,Kanyon
I102025,C119370,Male,51,Books,3,45.45,"Credit Card",14-09-2022,"Forum Istanbul"
I102031,C208014,Female,43,Toys,1,35.84,Cash,06-09-2022,Kanyon
I102037,C523688,Female,58,Toys,1,35.84,Cash,21-10-2022,Metrocity
I102038,C227579,Male,58,"Food & Beverage",1,5.23,Cash,19-05-2021,"Cevahir AVM"
I102040,C184203,Male,39,Toys,4,143.36,Cash,20-07-2021,"Istinye Park"
I102041,C846159,Male,50,Cosmetics,3,121.98,Cash,21-08-2021,"Mall of Istanbul"
I102042,C539103,Male,42,Cosmetics,3,121.98,"Credit Card",01-08-2021,Kanyon
I102045,C105667,Male,40,"Food & Beverage",3,15.69,"Credit Card",22-05-2021,"Metropol AVM"
I102047,C203711,Male,65,Toys,3,107.52,"Credit Card",01-06-2021,"Metropol AVM"
I102048,C597678,Male,23,Books,1,15.15,"Debit Card",05-08-2021,"Mall of Istanbul"
I102049,C282234,Female,58,Cosmetics,4,162.64,Cash,17-02-2022,"Metropol AVM"
I102051,C283917,Male,20,Clothing,2,600.16,"Credit Card",26-07-2022,"Mall of Istanbul"
I102053,C318494,Female,56,Clothing,2,600.16,Cash,13-05-2021,"Mall of Istanbul"
I102054,C948047,Female,38,Clothing,1,300.08,"Credit Card",07-05-2022,"Viaport Outlet"
I102058,C245703,Female,50,Cosmetics,1,40.66,"Debit Card",27-04-2022,"Mall of Istanbul"
I102059,C297169,Female,45,Souvenir,3,35.19,Cash,13-12-2022,"Cevahir AVM"
I102061,C181574,Male,36,Shoes,5,3000.85,"Credit Card",11-03-2022,Kanyon
I102065,C799164,Female,40,Clothing,2,600.16,"Debit Card",23-04-2022,"Metropol AVM"
I102068,C317485,Female,20,Souvenir,1,11.73,Cash,07-07-2021,Metrocity
I102069,C273829,Female,65,"Food & Beverage",2,10.46,Cash,25-01-2022,"Viaport Outlet"
I102070,C205475,Male,26,Clothing,4,1200.32,Cash,20-04-2021,"Forum Istanbul"
I102072,C283005,Female,38,Cosmetics,5,203.30,"Credit Card",05-10-2022,Kanyon
I102075,C127805,Female,61,Cosmetics,1,40.66,Cash,30-07-2021,Metrocity
I102082,C402987,Female,31,Souvenir,5,58.65,"Credit Card",20-06-2022,Metrocity
I102084,C339822,Male,25,Shoes,2,1200.34,Cash,19-02-2022,Metrocity
I102088,C184837,Male,36,Clothing,3,900.24,Cash,08-05-2021,"Metropol AVM"
I102091,C190233,Female,26,Toys,3,107.52,"Debit Card",15-03-2022,"Istinye Park"
I102092,C172569,Female,21,Shoes,5,3000.85,Cash,16-11-2022,"Viaport Outlet"
I102100,C252261,Female,69,Souvenir,1,11.73,"Debit Card",31-03-2022,Kanyon
I102101,C270792,Female,30,Clothing,5,1500.40,"Debit Card",21-07-2022,Kanyon
I102102,C628484,Male,66,Shoes,2,1200.34,"Credit Card",11-06-2022,"Istinye Park"
I102107,C294500,Male,31,Clothing,5,1500.40,"Debit Card",06-09-2022,"Mall of Istanbul"
I102108,C316403,Female,28,Shoes,4,2400.68,"Credit Card",25-06-2021,"Zorlu Center"
I102112,C308314,Male,26,Clothing,3,900.24,"Credit Card",25-12-2021,Metrocity
I102115,C629211,Male,50,Clothing,5,1500.40,"Debit Card",02-02-2023,Metrocity
I102118,C336690,Female,69,Cosmetics,3,121.98,Cash,10-02-2023,Kanyon
I102119,C299453,Female,37,Clothing,1,300.08,"Credit Card",20-05-2022,"Forum Istanbul"
I102120,C207445,Female,19,Clothing,1,300.08,"Debit Card",14-08-2022,"Forum Istanbul"
I102128,C183134,Male,21,Clothing,4,1200.32,"Credit Card",04-08-2022,Metrocity
I102131,C330136,Female,65,"Food & Beverage",1,5.23,"Debit Card",12-04-2022,"Zorlu Center"
I102133,C121237,Female,36,Clothing,1,300.08,"Credit Card",10-01-2022,Kanyon
I102141,C329384,Male,34,Clothing,1,300.08,"Debit Card",28-02-2022,"Mall of Istanbul"
I102142,C234980,Female,22,Shoes,2,1200.34,"Debit Card",24-12-2022,"Istinye Park"
I102143,C163307,Female,64,Shoes,3,1800.51,"Credit Card",19-01-2022,Kanyon
I102144,C317414,Female,45,Souvenir,4,46.92,Cash,07-12-2021,"Mall of Istanbul"
I102148,C127692,Female,60,Clothing,4,1200.32,"Credit Card",15-01-2022,Metrocity
I102149,C253677,Female,53,Clothing,4,1200.32,"Debit Card",22-03-2022,"Mall of Istanbul"
I102150,C336009,Male,48,Cosmetics,3,121.98,"Debit Card",23-10-2022,Kanyon
I102151,C460226,Female,64,Toys,2,71.68,Cash,29-11-2022,Kanyon
I102157,C204532,Male,42,Shoes,1,600.17,"Debit Card",28-09-2022,"Mall of Istanbul"
I102159,C115523,Female,21,"Food & Beverage",2,10.46,Cash,02-06-2022,"Zorlu Center"
I102162,C274417,Female,64,"Food & Beverage",3,15.69,"Credit Card",12-02-2023,"Metropol AVM"
I102166,C763155,Male,55,Books,1,15.15,Cash,06-08-2022,Kanyon
I102167,C283282,Female,52,Toys,4,143.36,"Credit Card",10-06-2021,"Cevahir AVM"
I102171,C170678,Female,53,"Food & Beverage",4,20.92,"Debit Card",15-01-2022,"Cevahir AVM"
I102173,C222171,Female,38,Clothing,3,900.24,"Debit Card",22-03-2021,"Emaar Square Mall"
I102175,C287261,Female,65,Clothing,2,600.16,Cash,02-09-2021,Metrocity
I102178,C123925,Female,54,Toys,2,71.68,"Debit Card",17-11-2021,"Istinye Park"
I102182,C153009,Male,36,Souvenir,4,46.92,"Credit Card",05-01-2021,"Metropol AVM"
I102184,C868347,Female,22,Souvenir,5,58.65,Cash,21-04-2022,"Istinye Park"
I102188,C306087,Female,24,Cosmetics,3,121.98,"Credit Card",11-02-2023,Metrocity
I102189,C135789,Male,59,Toys,1,35.84,Cash,14-09-2022,"Mall of Istanbul"
I102191,C211798,Male,31,Shoes,4,2400.68,Cash,17-10-2022,Kanyon
I102193,C327121,Female,38,Cosmetics,4,162.64,"Credit Card",08-01-2022,"Metropol AVM"
I102194,C328882,Female,63,Toys,4,143.36,"Debit Card",27-10-2021,"Mall of Istanbul"
I102195,C242866,Female,28,Clothing,1,300.08,"Credit Card",21-02-2021,Kanyon
I102199,C219898,Male,46,"Food & Beverage",1,5.23,"Credit Card",01-12-2021,Kanyon
I102200,C242359,Female,19,Clothing,2,600.16,"Credit Card",25-01-2021,"Metropol AVM"
I102201,C140670,Female,21,Books,1,15.15,"Debit Card",04-01-2023,"Mall of Istanbul"
I102202,C174973,Female,60,Technology,4,4200.00,"Credit Card",03-07-2022,"Metropol AVM"
I102205,C688295,Male,23,"Food & Beverage",2,10.46,"Credit Card",10-07-2022,Kanyon
I102218,C335848,Female,57,Cosmetics,1,40.66,"Credit Card",23-08-2022,Metrocity
I102221,C301581,Female,29,Clothing,4,1200.32,Cash,07-11-2022,Kanyon
I102222,C171465,Female,65,Clothing,5,1500.40,"Debit Card",27-09-2021,Kanyon
I102223,C339595,Female,29,Clothing,3,900.24,Cash,31-01-2022,"Mall of Istanbul"
I102224,C156712,Male,24,Cosmetics,3,121.98,"Credit Card",28-01-2022,"Emaar Square Mall"
I102225,C890104,Female,43,"Food & Beverage",4,20.92,"Credit Card",12-01-2022,Metrocity
I102229,C194316,Male,58,"Food & Beverage",4,20.92,"Credit Card",01-04-2021,Kanyon
I102232,C282538,Female,40,Toys,2,71.68,"Credit Card",03-12-2022,"Mall of Istanbul"
I102233,C284826,Female,47,Shoes,5,3000.85,"Credit Card",25-04-2021,"Forum Istanbul"
I102234,C237184,Male,48,Clothing,2,600.16,Cash,26-09-2021,"Metropol AVM"
I102237,C106693,Female,64,Cosmetics,2,81.32,"Credit Card",29-07-2022,"Mall of Istanbul"
I102240,C281387,Male,29,Clothing,4,1200.32,"Credit Card",22-06-2021,Kanyon
I102241,C218554,Male,40,Cosmetics,3,121.98,"Debit Card",16-09-2021,"Metropol AVM"
I102244,C210214,Male,18,Clothing,5,1500.40,"Credit Card",08-08-2022,"Viaport Outlet"
I102250,C282314,Female,59,Technology,1,1050.00,Cash,24-03-2021,"Mall of Istanbul"
I102254,C830416,Male,65,Shoes,1,600.17,"Credit Card",05-02-2022,Kanyon
I102256,C263791,Male,44,Books,3,45.45,Cash,08-12-2021,"Zorlu Center"
I102258,C306120,Female,49,Clothing,1,300.08,"Credit Card",31-07-2021,"Cevahir AVM"
I102260,C203685,Male,36,Books,2,30.30,Cash,11-11-2021,"Metropol AVM"
I102261,C817162,Female,23,Cosmetics,4,162.64,Cash,18-06-2022,"Istinye Park"
I102264,C221936,Female,56,Clothing,2,600.16,"Credit Card",22-01-2021,"Istinye Park"
I102268,C298559,Female,47,Shoes,4,2400.68,Cash,31-01-2022,"Zorlu Center"
I102276,C137086,Female,49,Cosmetics,2,81.32,"Debit Card",30-03-2022,"Istinye Park"
I102278,C190867,Male,24,Clothing,2,600.16,Cash,31-05-2022,Kanyon
I102279,C192527,Male,64,Technology,3,3150.00,Cash,06-04-2022,Metrocity
I102283,C889444,Male,36,Books,2,30.30,"Credit Card",15-04-2022,Metrocity
I102284,C378236,Female,63,Clothing,5,1500.40,Cash,23-08-2022,Metrocity
I102286,C303985,Female,50,Souvenir,3,35.19,Cash,02-01-2022,"Emaar Square Mall"
I102287,C844764,Male,38,Clothing,1,300.08,Cash,16-03-2022,"Metropol AVM"
I102296,C161661,Male,62,Cosmetics,4,162.64,Cash,01-09-2022,"Cevahir AVM"
I102300,C244793,Male,46,Toys,3,107.52,Cash,10-01-2021,"Zorlu Center"
I102303,C165489,Male,30,"Food & Beverage",4,20.92,"Credit Card",13-07-2022,"Mall of Istanbul"
I102304,C603018,Female,26,Souvenir,3,35.19,Cash,04-04-2021,"Viaport Outlet"
I102306,C270038,Female,68,Toys,2,71.68,Cash,02-07-2021,"Istinye Park"
I102311,C689496,Female,43,Shoes,2,1200.34,"Debit Card",09-03-2022,"Metropol AVM"
I102314,C244044,Female,21,Clothing,1,300.08,"Credit Card",03-08-2021,Kanyon
I102316,C102664,Female,63,Toys,2,71.68,"Credit Card",26-09-2021,"Emaar Square Mall"
I102320,C240298,Female,66,Cosmetics,5,203.30,"Credit Card",05-03-2022,Metrocity
I102323,C231102,Female,67,Clothing,5,1500.40,"Credit Card",21-02-2023,"Istinye Park"
I102324,C111343,Female,39,Cosmetics,4,162.64,"Credit Card",21-04-2021,Metrocity
